Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Purpose,Source,Source_def
1987,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,ID,,,1825,live,Not defined,Not defined,Not defined
1988,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,ID,,,1684,live,Not defined,Not defined,Not defined
1989,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,ID,,,1952,live,Not defined,Not defined,Not defined
1990,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,BN,,1,,live,Personal,Not defined,Not defined
1990,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,MY,ID,,2208,live,Commercial,W,Taken from wild
1990,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,MY,ID,2168,,live,Commercial,Not defined,Not defined
1991,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,ID,,,1450,live,Commercial,W,Taken from wild
1991,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,MY,ID,,870,live,Commercial,W,Taken from wild
1991,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,MY,ID,675,,live,Commercial,Not defined,Not defined
1991,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,MY,ID,,21,live,Not defined,W,Taken from wild
1991,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,MY,,1,,live,Personal,Not defined,Not defined
1991,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,MY,,50,,live,Commercial,Not defined,Not defined
1992,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,ID,,,1461,live,Not defined,Not defined,Not defined
1992,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,MY,ID,,3,live,Commercial,W,Taken from wild
1993,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,ID,,,855,live,Not defined,Not defined,Not defined
1996,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,OM,ID,2,,live,Commercial,W,Taken from wild
1996,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,OM,,1,,live,Personal,C,Bred in captivity
1996,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,PH,,4,4,live,Commercial,C,Bred in captivity
1997,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,PH,,1,1,live,Commercial,C,Bred in captivity
1997,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,SE,,1,1,live,Personal,C,Bred in captivity
1997,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,TH,ID,1,1,live,Personal,C,Bred in captivity
1998,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,MY,ID,,2,live,Commercial,W,Taken from wild
1998,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,ZA,,10,20,live,Commercial,C,Bred in captivity
1999,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,IN,,2,,live,Zoo,U,Unknown
1999,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,NL,SG,3,,live,Commercial,C,Bred in captivity
1999,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,ZA,,50,90,live,Commercial,C,Bred in captivity
2000,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,US,,1,1,live,Personal,F,Born in captivity
2000,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,ZA,,20,20,live,Commercial,C,Bred in captivity
2003,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,MY,SB,16,16,live,Commercial,C,Bred in captivity
2003,II,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,ZA,,,20,live,Commercial,C,Bred in captivity
2011,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,US,,1,,live,Personal,F,Born in captivity
2012,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,FR,,2,,live,Zoo,C,Bred in captivity
2012,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,FR,,,2,live,Zoo,F,Born in captivity
2014,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,GB,,2,,live,Zoo,U,Unknown
2017,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,JP,XX,,1,bodies,Circus,O,Pre-convention
2017,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,JP,XX,1,,specimens,Circus,O,Pre-convention
2019,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,HK,,7,,extract,Scientific,W,Taken from wild
2019,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,HK,,6,,specimens,Scientific,W,Taken from wild
