Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Purpose,Source,Source_def
2008,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,BE,,17,17,live,Commercial,C,Bred in captivity
2008,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ZA,,230,310,live,Commercial,C,Bred in captivity
2009,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,BE,,130,124,live,Commercial,C,Bred in captivity
2009,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ZA,,240,210,live,Commercial,C,Bred in captivity
2010,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,BE,,248,8,live,Commercial,C,Bred in captivity
2010,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,NL,,370,226,live,Commercial,C,Bred in captivity
2010,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ZA,,530,420,live,Commercial,C,Bred in captivity
2011,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,NL,,2400,17,live,Commercial,C,Bred in captivity
2011,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,UY,,300,400,live,Commercial,C,Bred in captivity
2011,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ZA,,160,500,live,Commercial,C,Bred in captivity
2012,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,NL,,2700,663,live,Commercial,C,Bred in captivity
2012,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,UY,,,500,live,Commercial,C,Bred in captivity
2013,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,NL,,51,,live,Commercial,C,Bred in captivity
2014,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,NL,,150,,live,Commercial,C,Bred in captivity
2014,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,UY,,,200,live,Commercial,C,Bred in captivity
2015,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,BE,,20,20,live,Commercial,C,Bred in captivity
2015,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,US,,,5,live,Commercial,C,Bred in captivity
2015,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,UY,,4030,3830,live,Commercial,C,Bred in captivity
2016,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,US,,,11,live,Commercial,C,Bred in captivity
2016,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,UY,,2800,3000,live,Commercial,C,Bred in captivity
2017,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,BE,,14,14,live,Commercial,C,Bred in captivity
2017,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,MZ,,20,,live,Commercial,C,Bred in captivity
2017,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ZA,,,70,live,Commercial,C,Bred in captivity
2018,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ES,PT,6,6,live,Commercial,C,Bred in captivity
2018,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,NL,,180,,live,Commercial,C,Bred in captivity
2019,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ZA,,,50,live,Commercial,C,Bred in captivity
2020,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,CZ,,16,,live,Commercial,C,Bred in captivity
2020,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,CZ,,,16,live,Commercial,C,Bred in captivity
2020,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,LK,,,10,live,Commercial,C,Bred in captivity
2020,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,NL,,31,,live,Commercial,C,Bred in captivity
2020,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,NL,,,31,live,Commercial,C,Bred in captivity
2000,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,CH,,5,,live,Commercial,C,Bred in captivity
2002,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ZA,,,20,live,Commercial,C,Bred in captivity
2004,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ZA,,,4,live,Commercial,C,Bred in captivity
2005,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,CI,,14,,live,Commercial,C,Bred in captivity
1989,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,NL,,40,10,live,Commercial,C,Bred in captivity
1991,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,BE,,10,16,live,Commercial,C,Bred in captivity
1992,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,BE,,10,,live,Commercial,C,Bred in captivity
1993,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,NL,,10,6,live,Commercial,C,Bred in captivity
1994,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,CN,,2,,live,Commercial,C,Bred in captivity
1996,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,NL,,,2,live,Commercial,C,Bred in captivity
1997,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,NL,,,10,live,Commercial,C,Bred in captivity
1998,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ZA,,10,60,live,Commercial,C,Bred in captivity
1999,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,NL,,,78,live,Commercial,C,Bred in captivity
1999,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ZA,,,474,live,Commercial,C,Bred in captivity
2000,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,BE,,,17,live,Commercial,C,Bred in captivity
2000,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,NL,,,14,live,Commercial,C,Bred in captivity
2000,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,PK,,,250,live,Commercial,C,Bred in captivity
2000,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ZA,,,402,live,Commercial,C,Bred in captivity
2001,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ZA,,,498,live,Commercial,C,Bred in captivity
2002,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,NL,,,16,live,Commercial,C,Bred in captivity
2002,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ZA,,,1860,live,Commercial,C,Bred in captivity
2003,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ZA,,,1020,live,Commercial,C,Bred in captivity
2004,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,BE,,,87,live,Commercial,C,Bred in captivity
2004,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,NL,,,291,live,Commercial,C,Bred in captivity
2004,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,PH,,,30,live,Commercial,C,Bred in captivity
2004,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ZA,,60,2840,live,Commercial,C,Bred in captivity
2005,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,AE,BH,,600,live,Commercial,C,Bred in captivity
2005,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,BE,,,15,live,Commercial,C,Bred in captivity
2005,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ZA,,,300,live,Commercial,C,Bred in captivity
2007,N,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ZA,,,800,live,Commercial,C,Bred in captivity
2008,N,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ZA,,,860,live,Commercial,C,Bred in captivity
2009,N,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,BE,,,50,live,Commercial,C,Bred in captivity
2009,N,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ZA,,,444,live,Commercial,C,Bred in captivity
2010,N,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,ZA,,,300,live,Commercial,C,Bred in captivity
1991,II,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,PH,,4,4,live,Commercial,C,Bred in captivity
1994,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,CH,,,2,live,Not defined,C,Bred in captivity
2000,III,Psittacula krameri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,US,,,2,live,Not defined,C,Bred in captivity
1989,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,US,ID,47,47,live,Commercial,Not defined,Not defined
1990,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,MY,ID,1540,,live,Commercial,Not defined,Not defined
1991,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,MY,ID,775,,live,Commercial,Not defined,Not defined
1993,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,NL,,4,,live,Commercial,Not defined,Not defined
1993,II,Trichoglossus haematodus,Aves,Psittaciformes,Loriidae,Trichoglossus,SG,SB,,300,,live,Commercial,Not defined,Not defined
1983,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,AR,,,4,live,Commercial,Not defined,Not defined
1987,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,AR,,,150,live,Commercial,Not defined,Not defined
1992,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ES,UY,30,,live,Commercial,Not defined,Not defined
1993,II,Myiopsitta monachus,Aves,Psittaciformes,Psittacidae,Myiopsitta,SG,ES,UY,30,,live,Commercial,Not defined,Not defined
1985,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,IN,,,255,live,Commercial,Not defined,Not defined
1985,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,US,IN,,184,live,Commercial,Not defined,Not defined
1987,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,IN,,50,50,live,Commercial,Not defined,Not defined
1987,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,VN,,7630,,live,Commercial,Not defined,Not defined
1988,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,VN,,1267,,live,Commercial,Not defined,Not defined
1989,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,MM,,600,,live,Commercial,Not defined,Not defined
1989,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,US,ID,36,36,live,Commercial,Not defined,Not defined
1989,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,VN,,3575,,live,Commercial,Not defined,Not defined
1990,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,MM,,450,,live,Commercial,Not defined,Not defined
1990,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,VN,,500,,live,Commercial,Not defined,Not defined
1991,II,Psittacula alexandri,Aves,Psittaciformes,Psittacidae,Psittacula,SG,MM,,1253,,live,Commercial,Not defined,Not defined
